Sat Jun  1 14:49:17 2013	103	Bassnectar Feat. Lupe Fiasco	Vava Voom	Vava Voom
Sat Jun  1 14:52:56 2013	97	Author	Mothership	Author
Sat Jun  1 14:59:00 2013	91	Artikal	Voyager (Digital Exclusive)	Alone In The Darkness
Sat Jun  1 15:04:01 2013	93	Datsik	Domino	Firepower / Domino
Sat Jun  1 15:08:47 2013	94	Six, Syte	Wretch	The Compilation 2012
Sat Jun  1 15:15:07 2013	96	JaFU	For Grins	Add To Cart
Sat Jun  1 15:17:23 2013	100	Heyoka	Ned	Marklar
Sat Jun  1 15:22:27 2013	93	Lamb	Butterfly Effect (Lowb Mix)	Everlasting - Selected And Mixed By Gaudi
Sat Jun  1 15:26:48 2013	89	Nero	Act Like You Know (Dubstep Mix	Act Like You Know
Sat Jun  1 15:32:18 2013	93	Underworld	Rez (Bassnectar Remix)	Rez (Bassnectar Remix)
Sat Jun  1 15:37:16 2013	103	Nicky Romero, Avicii	I Could Be The One (Dank (Usa)	n/a
Sat Jun  1 15:42:06 2013	102	Synkro	Angels (Vip Mix)	Getdarker Presents This Is Dubstep 3
Sat Jun  1 15:47:20 2013	103	Dubtro	Lift'in Off	Forgot Past Storage EP
Sat Jun  1 15:52:50 2013	88	Unitz	Distorted Life	Getdarker Presents This Is Dubstep 2
Sat Jun  1 15:57:27 2013	94	Bassnectar	Window Seat	Cozza Frenzy
Sat Jun  1 16:04:02 2013	93	Fractal, Au5	Halcyon	Halcyon
Sat Jun  1 16:09:52 2013	93	Flowdan, Kaiju	Hunter Feat. Flowdan (Original	n/a
Sat Jun  1 16:15:24 2013	100	Icicle	Galacticstep	n/a
Sat Jun  1 16:20:28 2013	98	Nate Mars	Warrior	Concentric Circles
Sat Jun  1 16:24:57 2013	98	Kryptic Minds	When Two Paths Cross (Original	n/a
Sat Jun  1 16:30:29 2013	107	Dj Vadim, The Electric	Toot Toot (Zeds Dead Remix)	Toot Toot
Sat Jun  1 16:34:47 2013	101	Kraddy	New World Empire Remix (Rearranged By The Diskchordians)	Truth Has No Path
Sat Jun  1 16:41:06 2013	105	Sporty-O	Patron & Kush (Calvertron Kush-Step Mix)	Patron & Kush
Sat Jun  1 16:45:23 2013	95	Above & Beyond, Zoe Johnston	You Got To Go feat. Zoe Johnston (Seven Lions Remix)	You Got To Go (Seven Lions Remix)
Sat Jun  1 16:50:21 2013	108	Camo, Krooked	All Fall Down Feat. Shaz Sparks (Club Mix)	All Fall Down
Sat Jun  1 16:54:26 2013	101	Tipper	Flat Ripple	Wobble Factor
Sat Jun  1 16:59:55 2013	95	Cluekid	Lost In Space	Grim
Sat Jun  1 17:05:06 2013	91	Opiuo	Moose Tooth	The Squiggle EP
Sat Jun  1 17:10:49 2013	89	Artikal	Alone In The Darkness (Dj Madd Remix)	Alone In The Darkness
Sat Jun  1 17:15:21 2013	93	Emalkay	Critical Hit	Getdarker Presents This Is Dubstep 3
Sat Jun  1 17:19:33 2013	89	Djinn	Something You Know (Original M	n/a
Sat Jun  1 17:24:16 2013	86	Truth	Snake	n/a
Sat Jun  1 17:29:16 2013	88	Perverse	Genocide	Genocide EP
Sat Jun  1 17:33:47 2013	94	Cyrus	Nostalgia	Nostalgia / Rupture
Sat Jun  1 17:39:13 2013	95	Au5	Crystal Mathematics Feat. Shaz	n/a
Sat Jun  1 17:44:30 2013	85	Dubtro	Forgot Past Storage (Original	n/a
Sat Jun  1 17:50:43 2013	80	Davr	Do It	This Sound
Sat Jun  1 17:55:14 2013	80	Zeds Dead	Hit Me	Adrenaline EP
Sat Jun  1 17:59:26 2013	82	M Machine	The Palace Feat. Blake Hazard	Metropolis Pt. II
Sat Jun  1 18:04:49 2013	81	Friction	Led Astray (Culprate Remix)	Led Astray EP
Sat Jun  1 18:09:20 2013	84	Benga	26 Basslines	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Sat Jun  1 18:14:23 2013	89	Vaccine	Anaesthetic	Anaesthetic / Destroy
Sat Jun  1 18:19:20 2013	88	Skope	Bruuh	n/a
Sat Jun  1 18:23:46 2013	91	Rusko	Somebody To Love (Skream Remix)	Somebody To Love (Skream Remix)
Sat Jun  1 18:29:36 2013	90	Dj Fresh, Sigma, Koko	Lassitude (Jakwob Remix)	Lassitude
