Fri Aug  1 10:27:24 2014	84	Curd Duca	Laura	Elevator 3
Fri Aug  1 10:27:37 2014	84	Beat.dowsing	Chocolate	Trigger.Melodies
Fri Aug  1 10:31:57 2014	81	Lord Raja	Globe In My Room	Rubies EP
Fri Aug  1 10:34:39 2014	82	Ilkae	Rusty Mittens	Pistachio Island
Fri Aug  1 10:36:27 2014	83	Mister Lies	Ludlow	Mowgli
Fri Aug  1 10:40:44 2014	82	Nuuro	Blister	All Clear
Fri Aug  1 10:43:43 2014	84	Aspen	For Thierry Henry And Ans Westra	isn't it about time you thought about something more than what makes you happy?
Fri Aug  1 10:51:37 2014	85	Kilowatts	Last_Hoorah	Problem/Solving
Fri Aug  1 10:56:24 2014	88	Aul	6am	the resplendent orb of day ret
Fri Aug  1 11:06:59 2014	88	Antiguo Automata Mexicano	Mille (Kampion Mix)	Kraut Slut
Fri Aug  1 11:12:47 2014	84	Dimitris	Tribute To The Masters	Collages_Rhythmos
Fri Aug  1 11:16:32 2014	83	Rodolphe Kuffer	Content	Switches
Fri Aug  1 11:20:58 2014	87	Jon Hopkins	Contact Note	Contact Note
Fri Aug  1 11:28:17 2014	91	Studio Pankow	Ruhleben	Linienbusse
Fri Aug  1 11:45:18 2014	80	Yoshinori Sunahara	The First Step (Version Liminal)	liminal
Fri Aug  1 11:50:36 2014	77	Alder & Elius	Introduction To The Opposites (Made Remix)	Hazardous Materials
Fri Aug  1 11:55:25 2014	74	Shigeto	Ritual Howl	No Better Time Than Now
Fri Aug  1 11:59:31 2014	75	Clonk (Freebass)	Sweet Exorcist	Warp10+2 Classics 89-92
Fri Aug  1 12:07:17 2014	73	Barbara Morgenstern	Dntel Mix	Himmel Mixe (Compilation)
Fri Aug  1 12:11:44 2014	68	Plaid	Talk To Us	Scintilli
Fri Aug  1 12:15:07 2014	70	I Broke My Robot	Tomorrow Does Not Exist	Tomorrow Does Not Exist
Fri Aug  1 12:18:47 2014	69	Test Shot Starfish	Forecast	Groove Closet: Downtempo Bedroom Beats From Ball Of Waxx
Fri Aug  1 12:23:36 2014	72	Build Buildings	Letter Codes	Ceiling Lights from Street
Fri Aug  1 12:27:59 2014	72	Ruzina Frankulin	Babyphawk	Electroblue
Fri Aug  1 12:32:25 2014	76	Burial	Etched Headplate	Untrue
Fri Aug  1 12:38:21 2014	83	Mandrake	Cold Boy	Shake Your Space Traveller
Fri Aug  1 12:41:57 2014	83	Aphex Twin	Ageispolis	Selected Ambient Works 85-92
Fri Aug  1 12:47:05 2014	83	John Tejada	This Fake Place	Logic Memory Center
Fri Aug  1 12:51:56 2014	85	Dustin.odell	Habitual Glitch	last thursday died last week
Fri Aug  1 12:54:39 2014	83	Altered:carbon	Dimi The Twin [Jimmy Penguin R	n/a
Fri Aug  1 13:00:21 2014	83	Coppe	Bird's Midair Heat Stroke	9+10=10th. Anniversary : Coppe' {9}
Fri Aug  1 13:03:25 2014	82	Apparat	Tangens	friends we met along the way
Fri Aug  1 13:08:04 2014	84	Milosh	Wrapped Round My Ways	iii
Fri Aug  1 13:12:53 2014	87	Ryuichi Sakamoto	Chasm	Chasm
Fri Aug  1 13:16:18 2014	85	Gel-Sol	Assemblage Point	em:t 1103
Fri Aug  1 13:24:04 2014	79	Dntel	Last Songs	Life Is Full Of Possibilities
Fri Aug  1 13:28:34 2014	83	Amon Tobin	Yards	4 Ton Mantis
Fri Aug  1 13:32:58 2014	82	Ylid	Pops	saccade
Fri Aug  1 13:36:45 2014	83	Isan	Cubillo	Clockwork Menagerie
Fri Aug  1 13:39:07 2014	86	Carmen Rizzo	Morning Glory	The Space Left Behind
Fri Aug  1 13:43:54 2014	85	Black Mold	Wet Ferns	Snow Blindness is Crystal Antz
Fri Aug  1 13:49:56 2014	85	Socks And Sandals	Found In Space	Microcosm Music Volume One
Fri Aug  1 13:55:49 2014	84	Bichi	Drommeren	erobreren
Fri Aug  1 13:59:48 2014	83	Seekae	Blood Bank	+DOME (MASTER)
Fri Aug  1 14:03:29 2014	85	Autechre	Squeller	EP7
Fri Aug  1 14:08:03 2014	86	Pembls	Humana	Humana EP, Cold Fiction Records
Fri Aug  1 14:14:38 2014	88	Bonobo	Kota	Animal Magic
Fri Aug  1 14:19:43 2014	88	Yunx	Gotta Get Some	SO*_WHATtypeofMUSICDOYOUMAKE*
Fri Aug  1 14:25:49 2014	82	Gloom	Geosynchronous	n/a
Fri Aug  1 14:30:22 2014	77	Ligyro	Orange Bounce	Ligyro
Fri Aug  1 14:36:03 2014	78	A-Ux	On The Subway	A-ux.com
Fri Aug  1 14:41:54 2014	79	Build	Stories Masquerading As Objects	Exhibition
Fri Aug  1 14:45:50 2014	80	Sub Liquid	Existence	Beneath Your Reflection
Fri Aug  1 14:50:48 2014	76	Murcof	Razon (En 3 Partes)	Remembranza
Fri Aug  1 14:57:41 2014	77	E N V (Itre)	2wei	n/a
Fri Aug  1 15:01:59 2014	71	Rabbit In The Moon	I Wanna Be Adored (Luna Sol's Acid Hacienda Mix)	Rabbit In The Moon Remixes Volume 2
Fri Aug  1 15:09:27 2014	77	Boards Of Canada	Into The Rainbow Vein	The Campfire Headphase
Fri Aug  1 15:10:00 2014	77	Yvat	Abeam	cyma
Fri Aug  1 15:13:03 2014	77	Vektordrum	Symplectic Manifold (Original	n/a
Fri Aug  1 15:19:47 2014	71	Shuutobi	At The Crack Of Noon	The Esc EP
Fri Aug  1 15:23:16 2014	69	Jon Hopkins	Open Eye Signal	Immunity
Fri Aug  1 15:31:09 2014	68	Aspen	This Is Why Only Teenagers Can Really Love Music	Are You That Retail Snob?
Fri Aug  1 15:41:29 2014	67	Lusine Icl	Rabblerouse	Condensed
Fri Aug  1 15:46:17 2014	67	Fieldaudio	Rkn Dt (Part 5)	Suite_f_a
Fri Aug  1 15:49:36 2014	65	Michaela Melian	Brautlied	Monika Force
Fri Aug  1 15:53:53 2014	62	Chaos A.d.	Davey's Safety Lamp	Buzz Caner
Fri Aug  1 15:59:54 2014	61	Autechre	Piezo	Amber
Fri Aug  1 16:07:40 2014	62	Donato Wharton	Sieben Mal Weisser Als Weiss	Trabanten
Fri Aug  1 16:15:17 2014	64	Bjorn Svin	Nob	Browen
Fri Aug  1 16:18:57 2014	62	Sound Hacker	Jellygraphic	336 hours later
Fri Aug  1 16:23:13 2014	58	Build Buildings	Yesterday	I Sat On The Roof
Fri Aug  1 16:26:38 2014	58	Dr. Rockit	Song Wityh Words	Indoor Fireworks
Fri Aug  1 16:33:47 2014	53	Detroit Escalotor Co.	Duat	Black Buildings
Fri Aug  1 16:35:16 2014	54	Gasp	Policing The Aberrations	Gasp - If Only The Cold Morning Was Warm As Us By Night
Fri Aug  1 16:40:53 2014	52	Build	Fascinating Facial Twitch	Exhibition
Fri Aug  1 16:43:41 2014	53	Arovane	Instant Gods Out Of The Box	Lilies
Fri Aug  1 16:47:59 2014	55	Marion	Singalong Tammy	Switches
Fri Aug  1 16:50:32 2014	54	Sts 9, Slicker And Retina.It	Mackinaw Peeper Division	n/a
Fri Aug  1 16:55:35 2014	54	Vincent Parker	Desmond 3	n/a
Fri Aug  1 16:59:13 2014	56	Fax	Xing	Primario
Fri Aug  1 17:05:15 2014	59	Porn Sword Tobacco	Carl Zeiss Driving To Work	Explains Freedom
Fri Aug  1 17:07:39 2014	56	Bannlust	Another Useless Manifesto	Digital Tensions
Fri Aug  1 17:13:14 2014	61	Granufunk	Jimmy Brown	Granufunk
Fri Aug  1 17:17:12 2014	58	Studio Pankow	Pank Strasse	Linienbusse
Fri Aug  1 17:20:44 2014	57	Sadahnmo	Sadahnmo Stays In A Palace	Synths of Yanihba
Fri Aug  1 17:25:15 2014	56	Ai M E	Running Up The Lighthouse, Waves Crashed	n/a
Fri Aug  1 17:29:36 2014	53	Solar Fields	Stereo Hypnosis	Eaving Home - ultimae.com
Fri Aug  1 17:33:27 2014	52	John Beltram	Soft Summer	Lush Life Electronica
Fri Aug  1 17:39:54 2014	55	Deru	Fadeaway	Say Goodbye To Useless
Fri Aug  1 17:44:31 2014	58	Nauseous Youth Future	Mbbdpp	Dosage
Fri Aug  1 17:47:23 2014	56	Kiln	Lux	Sunbox
Fri Aug  1 17:53:03 2014	54	Alka	I Am A Wreck	a dog lost in the woods
Fri Aug  1 17:56:25 2014	54	Mandrake	Silver Stain	Shake Your Space Traveller
Fri Aug  1 18:00:51 2014	54	Nils Nilsson	Ring Fake Minice (Rfm)	19 Home Listening Favorites
Fri Aug  1 18:04:18 2014	53	Jon Hopkins	Breathe This Air	Immunity
Fri Aug  1 18:09:28 2014	58	Faction	Cutters Way	The End of Tel Aviv
Fri Aug  1 18:16:36 2014	53	Pan Sonic	Vaihtovirta	Aaltopiiri
Fri Aug  1 18:23:04 2014	55	Isan	Betty's Lament	Clockwork Menagerie
Fri Aug  1 18:27:46 2014	54	Boards Of Canada	Kid For Today	In a Beautiful Place Out in the Country
Fri Aug  1 18:34:00 2014	57	Amon Tobin	Triple Science	Out, From Out Where
Fri Aug  1 18:38:55 2014	59	Natalie Walker	No One Else (The Vector Warrior Remix)	No one Else EP
Fri Aug  1 18:42:57 2014	59	Microesfera	Inverso	Negative
Fri Aug  1 18:48:25 2014	58	Coppe	Monologue	8
Fri Aug  1 18:50:37 2014	60	Palac	Arianne And Francois	Ghosts
Fri Aug  1 18:55:06 2014	59	Ilkae	Kochira Link Set	Pistachio Island
Fri Aug  1 18:55:53 2014	58	Monoceros	6equj5	I feel apocalyptic today
Fri Aug  1 19:01:15 2014	58	Ryuichi Sakamoto	20 Msec.	Chasm
Fri Aug  1 19:06:45 2014	55	Flashbulb	Passage D	Kirlian Selections
Fri Aug  1 19:08:43 2014	57	W A R Lo Z	Let Her Go	n/a
Fri Aug  1 19:13:26 2014	57	Plaid	Live @ Coachella 09	n/a
Fri Aug  1 19:18:18 2014	48	Mirm	Yume	Texas (Exponential Records SXSW Label Sampler)
Fri Aug  1 19:22:38 2014	53	Aspen	Pedestrian Not Aquarian	Music From Passing Cars
Fri Aug  1 19:27:21 2014	50	Touane	Pendulum (Let Your Nerves Speak)	Awake
Fri Aug  1 19:31:21 2014	52	Atmogat	Feelings Inside	Insecure Filter
Fri Aug  1 19:37:05 2014	49	Autechre	Rsdio	Tri Repetae
Fri Aug  1 19:46:28 2014	52	Weave	Upwards	of the nature tone
Fri Aug  1 19:51:29 2014	50	Socks And Sandals	Shatter	Microcosm Music Volume One
Fri Aug  1 19:57:03 2014	48	Donato Wharton	Debris D'Avril	Trabanten
Fri Aug  1 20:00:59 2014	48	Carson Day	Musique Mort	Dielectric Records
Fri Aug  1 20:06:43 2014	47	Tricky Disco	Tricky Disco	n/a
Fri Aug  1 20:13:45 2014	50	Berestez	Eirom	earthine ep
Fri Aug  1 20:16:26 2014	47	Acustic	80	Welcome
Fri Aug  1 20:19:15 2014	49	Sound Hacker	Phxone	336 hours later
Fri Aug  1 20:24:38 2014	44	Self Oscillate	Sugarshake	Self Oscillate
Fri Aug  1 20:27:46 2014	44	Populous	Hi Hat The Ro Q's Drns	Quipo
Fri Aug  1 20:31:14 2014	43	Tachikoma-Kun	The Secret Of Caring For Life.	Gentle, Amoral Robot Music
Fri Aug  1 20:34:43 2014	41	Barbara Morgenstern & Robert Lippok	Geisterjager	Tesri
Fri Aug  1 20:39:53 2014	43	Aztech	Mumine	Chiller Waves
Fri Aug  1 20:46:17 2014	40	Dj Food	Sexy Bits (Autechre Ae 9v Mix)	Jazz Brakes, Vol. 5
Fri Aug  1 20:53:13 2014	45	Curd Duca	Geister	Elevator 3
Fri Aug  1 20:53:20 2014	45	Kelpe	Grappling Hook	Sea Inside Body
Fri Aug  1 20:57:14 2014	45	Gate Zero	White Sand Part 2 (Self Oscillate Remix)	Black Dust
Fri Aug  1 21:01:46 2014	47	302 Acid	Aiboc	0005 (em:t records)
Fri Aug  1 21:07:27 2014	45	Monolake	Amazon	Interstate
Fri Aug  1 21:13:28 2014	47	Basic	Psilocibaclysm	Humanworkshop
Fri Aug  1 21:18:21 2014	49	Bola	Veronex Cypher	Fyuti
Fri Aug  1 21:23:04 2014	50	Pedagogy	Lady Of The Lake	Abstracts and Contradictions
Fri Aug  1 21:27:27 2014	46	Zomby	A Devil Lay Here	Dedication
Fri Aug  1 21:30:18 2014	48	Bjork	All Neon Like	Homogenic
Fri Aug  1 21:35:53 2014	47	Hideki Takamoto	Send To The End	n/a
Fri Aug  1 21:41:03 2014	46	Slicker	Hold Right	The Latest
Fri Aug  1 21:43:39 2014	48	Rechenzentrum	Slate	Various Artists: Clubtransmediale.07
Fri Aug  1 21:48:41 2014	50	Mandrake	Select Electric	Shake Your Space Traveller
Fri Aug  1 21:53:21 2014	52	Fake Plastic Heads	The Path Leading To A Different Future	digit
Fri Aug  1 22:08:42 2014	48	Ryuichi Sakamoto	Word Rob Da Bank & Mr.Dan Remix	Bricolages
Fri Aug  1 22:12:49 2014	49	Four Tet	Isambard Khroust	n/a
