Fri Feb  1 07:13:43 2013	49	Vonda Shepard	Hooked On A Feeling	Songs From Alley Mcbeal
Fri Feb  1 07:16:33 2013	49	Soko	Love No	n/a
Fri Feb  1 07:20:11 2013	52	Christopher John	The World Has Turned And Left Me Here	n/a
Fri Feb  1 07:26:27 2013	52	Emanuel	Kryptonite (I'm On It)	n/a
Fri Feb  1 07:30:55 2013	51	Heather Nova	Like A Hurricane	n/a
Fri Feb  1 07:34:26 2013	50	Eric Clapton	After Midnight	Eric Clapton's Rainbow Concert
Fri Feb  1 07:37:22 2013	50	Red Hot Chili Peppers	Love Rollercoaster	Beavis And Butt-Head Do America
Fri Feb  1 07:41:53 2013	54	Rx Bandits	Holy Wars	n/a
Fri Feb  1 07:46:58 2013	50	Mark Ronson	Lsf (Feat. Kasabian)	n/a
Fri Feb  1 07:50:27 2013	48	Dwight Yoakam	Train In Vain	Reprise Please Baby: The Warner Bros. Years
Fri Feb  1 07:53:40 2013	53	Crazyhead	Have Love, Will Travel	ATTR 1989
Fri Feb  1 07:56:14 2013	52	Pet Ghost Project	Box Elder	n/a
Fri Feb  1 07:58:52 2013	52	Sun Kil Moon	Tiny Cities Made Of Ashes	Tiny Cities
Fri Feb  1 08:02:00 2013	56	Me First And The Gimme Gimmes	Mandy	Have a Ball
Fri Feb  1 08:04:28 2013	60	Limp Bizkit	1999	n/a
Fri Feb  1 08:07:56 2013	58	Mighty Lemon Drops	Another Girl, Another Planet	Just Say Anything (Vol. V Of J
Fri Feb  1 08:10:34 2013	52	Colin Meloy	Everyday Is Like Sunday	n/a
Fri Feb  1 08:13:45 2013	52	Meco	The Phantom Menace	n/a
Fri Feb  1 08:16:54 2013	51	Somethingawful.Com	Eye Of The Tiger	n/a
Fri Feb  1 08:21:02 2013	49	Easy Star All-Stars	Fitter Happier (Feat. Menny More)	Radiodread [Vinyl]
Fri Feb  1 08:23:17 2013	49	Doveman	Footloose	n/a
Fri Feb  1 08:27:51 2013	50	Marianne Faithfull	As Tears Go By	Marianne Faithfull [Japan]
Fri Feb  1 08:30:18 2013	51	Face To Face	That's Entertainment	Standards & Practices
Fri Feb  1 08:33:43 2013	55	Darling	Suffragette City	n/a
